Duration(Days),Main Cause,Latitude,Longitude,Severity,Human injury
4,Heavy rain,14.5398,75.0937,1,95
12,Heavy rain,32.8353,76.9103,1,340
32,Heavy rain,26.4816,82.8434,2,557
2,Tropical cyclone,21.1495,86.7154,2,49
66,MonsooHeavy rainl rain,25.6339,84.0726,1,258
7,MonsooHeavy rainl rain,17.4331,80.187,1,150
18,Heavy rain,23.6547,89.4296,1,49
167,MonsooHeavy rainl rain,26.4813,92.0622,1,76
23,Heavy rain,26.988,92.926,1,34
123,MonsooHeavy rainl rain,28.886,80.7246,2,233
13,Heavy rain,22.0189,71.1117,1,97
3,Heavy rain,18.4311,80.713,1,50
23,MonsooHeavy rainl rain,26.5037,86.5429,1,876
3,Heavy rain,30.9339,75.0459,2,731
31,Heavy rain,19.1131,72.8962,1,23
9,MonsooHeavy rainl rain,15.1816,76.4736,1,780
154,MonsooHeavy rainl rain,24.8678,92.8291,2,31
214,Heavy rain,26.4375,80.8611,1,7
1,Torrential rain,33.8036,76.2592,1,17
3,Tropical cyclone,16.2843,80.6926,1,430
5,MonsooHeavy rainl rain,26.7553,92.7754,2,21
139,MonsooHeavy rainl rain,26.7055,78.8703,1,425
1,Heavy rain,27.5435,80.6956,1,17
6,MonsooHeavy rainl rain,22.4257,71.3244,1,50
1,Heavy rain,26.0747,92.817,1,10
4,MonsooHeavy rainl rain,11.3982,77.0504,1,44
123,Tropical cyclone,24.4696,92.4232,1,13
61,MonsooHeavy rainl rain,15.733,73.7324,2,72
6,MonsooHeavy rainl rain,26.6059,92.9592,1,25
2,MonsooHeavy rainl rain,20.9474,79.1574,1,500
4,Heavy rain,20.2047,84.4178,1,15
14,MonsooHeavy rainl rain,28.3671,81.0334,1,88
248,MonsooHeavy rainl rain,24.707,85.7348,1,0
1,MonsooHeavy rainl rain,24.3395,87.8328,1,21
5,Heavy rain,14.0025,79.4752,1,90
38,MonsooHeavy rainl rain,16.5216,75.9695,1,90
3,Heavy rain,26.9122,94.46,1,0
3,MonsooHeavy rainl rain,20.5033,86.0449,1,16
61,MonsooHeavy rainl rain,24.8678,80.7003,1,40
3,Tropical cyclone,13.0242,78.8487,2,263
77,MonsooHeavy rainl rain,24.9382,92.0974,1,238
6,MonsooHeavy rainl rain,25.1622,89.7567,2,3083
8,Heavy rain,27.9917,78.9675,1,232
3,Torrential rain,13.407,75.4042,1,35
34,Heavy rain,11.054,77.5024,1,95
247,Tropical cyclone,12.5851,79.9572,1,70
198,MonsooHeavy rainl rain,20.6258,76.6191,1,617
275,MonsooHeavy rainl rain,31.7869,77.252,1,60
214,MonsooHeavy rainl rain,27.586,80.6237,1,53
61,Torrential rain,31.7821,76.9177,1,11
3,Torrential rain,31.7668,77.27,1,9
3,MonsooHeavy rainl rain,20.7866,79.2684,1,26
3,MonsooHeavy rainl rain,31.5294,77.0555,1,20
150,MonsooHeavy rainl rain,20.1358,84.4369,1,0
4,Tropical cyclone,10.7214,78.7248,1,40
3,Tropical cyclone,16.2498,80.0422,1,230
28,Heavy rain,23.2582,92.8575,1,40
3,MonsooHeavy rainl rain,26.0363,92.8902,1,17
